;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Histórico de Cota;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Data Emissão:;03/09/2020;;09:50:53;;;;;;;;;;;;;;;;;;1/1;;;
Período:;03/05/2000;;;à;03/09/2020;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Cliente:;459331 - FENIX FIDC NP-UNICA                     ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Data;;Entradas;;;;Saídas;;;Patrimonio;;;;;QtdCotas;;Cota;Dia;Mês;Ano;12 Meses;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
03/28/2018;;0;;;;0;;;9514757,91;;;;;0,00000000;;1057,195323;0.13 %;4.12 %;9.43 %;9.57 %;;;;
03/29/2018;;0;;;;0;;;9532336,2;;;;;0,00000000;;1059,148467;0.18 %;4.31 %;9.64 %;9.77 %;;;;
04/02/2018;;0;;;;0;;;9544392,78;;;;;0,00000000;;1060,488087;0.12 %;0.12 %;9.77 %;9.91 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2018;;0;;;;0;;;9554749,53;;;;;0,00000000;;1061,638837;0.10 %;0.23 %;9.89 %;10.03 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/04/2018;;0;;;;0;;;9564142,33;;;;;0,00000000;;1062,682481;0.09 %;0.33 %;10.00 %;10.14 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2018;;0;;;;0;;;9572103,05;;;;;0,00000000;;1063,567006;0.08 %;0.41 %;10.09 %;10.23 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/06/2018;;0;;;;0;;;9581625,66;;;;;0,00000000;;1064,625073;0.09 %;0.51 %;10.20 %;10.34 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/09/2018;;0;;;;0;;;9579141,59;;;;;0,00000000;;1064,349066;(0.02 %);0.49 %;10.17 %;10.31 %;;;;
04/10/2018;;0;;;;0;;;9583835,92;;;;;0,00000000;;1064,870658;0.04 %;0.54 %;10.23 %;10.37 %;;;;
04/11/2018;;0;;;;0;;;9597000,75;;;;;0,00000000;;1066,333417;0.13 %;0.67 %;10.38 %;10.52 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/12/2018;;0;;;;0;;;9599713,79;;;;;0,00000000;;1066,634866;0.02 %;0.70 %;10.41 %;10.55 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/13/2018;;0;;;;0;;;9603906,16;;;;;0,00000000;;1067,100684;0.04 %;0.75 %;10.46 %;10.60 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/16/2018;;0;;;;0;;;9588330,89;;;;;0,00000000;;1065,370099;(0.16 %);0.58 %;10.28 %;10.42 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/17/2018;;0;;;;0;;;11430737,29;;;;;0,00000000;;1270,081921;19.21 %;19.91 %;31.47 %;31.64 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/18/2018;;0;;;;0;;;11508998,73;;;;;0,00000000;;1278,777637;0.68 %;20.73 %;32.37 %;32.54 %;;;;
04/19/2018;;0;;;;0;;;11538625,19;;;;;0,00000000;;1282,069466;0.25 %;21.04 %;32.71 %;32.88 %;;;;
04/20/2018;;0;;;;0;;;11545931,03;;;;;0,00000000;;1282,881226;0.06 %;21.12 %;32.80 %;32.96 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/23/2018;;0;;;;0;;;11542869,41;;;;;0,00000000;;1282,541046;(0.02 %);21.09 %;32.76 %;32.93 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/24/2018;;0;;;;0;;;11547877,75;;;;;0,00000000;;1283,097528;0.04 %;21.14 %;32.82 %;32.98 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/25/2018;;0;;;;0;;;11546515,67;;;;;0,00000000;;1282,946186;(0.01 %);21.12 %;32.80 %;32.97 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/26/2018;;0;;;;0;;;11418716,48;;;;;0,00000000;;1268,746276;(1.10 %);19.78 %;31.33 %;31.50 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/27/2018;;0;;;;0;;;11427463,33;;;;;0,00000000;;1269,718148;0.07 %;19.88 %;31.43 %;31.60 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
04/30/2018;;0;;;;0;;;11419569,81;;;;;0,00000000;;1268,84109;(0.06 %);19.79 %;31.34 %;31.51 %;;;;
05/02/2018;;0;;;;0;;;11423861,28;;;;;0,00000000;;1269,31792;0.03 %;0.03 %;31.39 %;31.56 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/03/2018;;0;;;;0;;;11424202,34;;;;;0,00000000;;1269,355816;0.00 %;0.04 %;31.40 %;31.56 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/04/2018;;0;;;;0;;;11423366,9;;;;;0,00000000;;1269,262989;0.00 %;0.03 %;31.39 %;31.55 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/07/2018;;0;;;;0;;;11406066,84;;;;;0,00000000;;1267,34076;(0.15 %);(0.11 %);31.19 %;31.35 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/08/2018;;0;;;;0;;;11404546,87;;;;;0,00000000;;1267,171874;(0.01 %);(0.13 %);31.17 %;31.33 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/09/2018;;0;;;;0;;;11404686,21;;;;;0,00000000;;1267,187357;0.00 %;(0.13 %);31.17 %;31.34 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/10/2018;;0;;;;0;;;11380356,35;;;;;0,00000000;;1264,484039;(0.21 %);(0.34 %);30.89 %;31.06 %;;;;
05/11/2018;;0;;;;0;;;11547043,77;;;;;0,00000000;;1283,004863;1.46 %;1.11 %;32.81 %;32.97 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/14/2018;;0;;;;0;;;11546906,85;;;;;0,00000000;;1282,98965;0.00 %;1.11 %;32.81 %;32.97 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/15/2018;;0;;;;0;;;11555501,82;;;;;0,00000000;;1283,944647;0.07 %;1.19 %;32.91 %;33.07 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/16/2018;;0;;;;0;;;11560424,57;;;;;0,00000000;;1284,491619;0.04 %;1.23 %;32.96 %;33.13 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/17/2018;;0;;;;0;;;11557806,56;;;;;0,00000000;;1284,200729;(0.02 %);1.21 %;32.93 %;33.10 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/18/2018;;0;;;;0;;;11560003,75;;;;;0,00000000;;1284,444861;0.01 %;1.22 %;32.96 %;33.12 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/21/2018;;0;;;;0;;;11537060,78;;;;;0,00000000;;1281,895642;(0.19 %);1.02 %;32.69 %;32.86 %;;;;
05/22/2018;;0;;;;0;;;11535259,48;;;;;0,00000000;;1281,695498;(0.01 %);1.01 %;32.67 %;32.84 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/23/2018;;0;;;;0;;;11529117,75;;;;;0,00000000;;1281,013083;(0.05 %);0.95 %;32.60 %;32.77 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/24/2018;;0;;;;0;;;11519415,99;;;;;0,00000000;;1279,93511;(0.08 %);0.87 %;32.49 %;32.66 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/25/2018;;0;;;;0;;;11515832,24;;;;;0,00000000;;1279,536916;(0.03 %);0.84 %;32.45 %;32.62 %;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
05/28/2018;;0;;;;0;;;11492919,66;;;;;0,00000000;;1276,991073;(0.19 %);0.64 %;32.19 %;32.35 %;;;;
